순위,코인명,심볼,수집시간,국내가격,해외가격,김프율,김프액
1,비트코인,BTC,2025-12-04 15:50:33,"138,609,000","137,299,798",+0.95%,"1,309,202"
2,테더,USDT,2025-12-04 15:50:33,"1,487","1,473",+0.92%,13.51
3,엑스알피 [리플],XRP,2025-12-04 15:50:33,"3,246","3,215",+0.96%,30.84
4,이더리움,ETH,2025-12-04 15:50:33,"4,773,000","4,731,686",+0.87%,"41,314"
5,솔라나,SOL,2025-12-04 15:50:33,"214,400","212,507",+0.89%,"1,893"
6,휴머니티 프로토콜,휴머니티 프로토콜,2025-12-04 15:50:33,121.0,-6.92%,-9.000,-7.63%
7,에인션트8,에인션트8,2025-12-04 15:50:33,에인션트8,A8,109.0,+18.41%
8,도지코인,DOGE,2025-12-04 15:50:33,224.0,222.0,+0.92%,2.033
9,수이,SUI,2025-12-04 15:50:33,"2,489","2,465",+0.97%,23.85
10,펏지 펭귄,PENGU,2025-12-04 15:50:33,17.74,17.62,+0.67%,0.1185
11,월드코인,WLD,2025-12-04 15:50:33,953.0,944.5,+0.90%,8.493
12,버추얼 프로토콜,VIRTUAL,2025-12-04 15:50:33,"1,448","1,435",+0.91%,13.12
13,에테나,ENA,2025-12-04 15:50:33,437.0,436.0,+0.23%,0.9943
14,터보,TURBO,2025-12-04 15:50:33,3.518,3.498,+0.57%,0.01993
15,솔라,SXP,2025-12-04 15:50:33,99.31,98.43,+0.89%,0.8809
16,모나드,MON,2025-12-04 15:50:33,44.73,+4.83%,2.060,-9.29%
17,멀린 체인,MERL,2025-12-04 15:50:33,525.0,+3.96%,20.00,-2.96%
18,에이다,ADA,2025-12-04 15:50:33,672.0,666.6,+0.81%,5.393
19,보아,BOA,2025-12-04 15:50:33,5.154,-0.23%,-0.0120,-23.30%
20,비트코인 캐시,BCH,2025-12-04 15:50:33,"882,500","874,222",+0.95%,"8,278"
