종목명,종목코드,현재가,전일비,등락률,거래량,거래대금,시가총액
삼성전자,005930,104400,하락,-0.10%,4289748,445208,6180102
SK하이닉스,000660,538500,하락,-2.45%,1304850,701090,3920293
LG에너지솔루션,373220,413500,하락,-1.08%,109894,45742,967590
삼성바이오로직스,207940,1660000,상승,+0.36%,12707,21265,768430
현대차,005380,280000,상승,+5.07%,717075,198096,573322
두산에너빌리티,034020,79450,상승,+1.34%,2261121,180463,508926
KB금융,105560,130000,하락,-1.29%,268560,34965,495901
기아,000270,119700,상승,+0.93%,455988,54234,467324
HD현대중공업,329180,521000,하락,-2.43%,39353,20657,462508
한화에어로스페이스,012450,856000,하락,-1.15%,49687,42951,441383
